# This is a Revit shared parameter file.
# Do not edit manually.
*META	VERSION	MINVERSION
META	2	1
*GROUP	ID	NAME
GROUP	2	IFC Properties
*PARAM	GUID	NAME	DATATYPE	DATACATEGORY	GROUP	VISIBLE	DESCRIPTION	USERMODIFIABLE
#
PARAM	979a9ef7-a1e5-42aa-b12b-87f4b316b920	ClassificationCode[Type]	TEXT		2	1		1
PARAM	d1de9789-0ee4-4212-8083-a35b7d78c4ee	ClassificationCode(2)[Type]	TEXT		2	1		1
PARAM	a2b43c43-148c-43ac-acc4-804f09623b9f	ClassificationCode(3)[Type]	TEXT		2	1		1
PARAM	cb55abe4-ea3a-452e-8e8d-fc0b72ba8e42	ClassificationCode(4)[Type]	TEXT		2	1		1
PARAM	219647f3-80ec-4959-be6e-38875b0cf419	ClassificationCode(5)[Type]	TEXT		2	1		1
PARAM	c7ea8d37-af44-43d5-982d-3193cbd36701	ClassificationCode(6)[Type]	TEXT		2	1		1
PARAM	fbd5a530-c151-4986-a711-2a6c5cd83d3e	ClassificationCode(7)[Type]	TEXT		2	1		1
PARAM	7b1b4c28-2b51-49ac-bb80-99832b6d5a77	ClassificationCode(8)[Type]	TEXT		2	1		1
PARAM	af667115-4871-4a74-ad48-cd9156ab52f7	ClassificationCode(9)[Type]	TEXT		2	1		1
PARAM	f4c50e92-76bd-4815-a41c-2a96c13ce3fa	ClassificationCode(10)[Type]	TEXT		2	1		1
PARAM	2db82be1-0d19-4007-9e02-4d1701e979f8	IfcQtyDepth[Type]	LENGTH		2	1		1
PARAM	75508649-f36d-499a-8116-67a6ae63a437	IfcQtyLength[Type]	LENGTH		2	1		1
PARAM	cc9723c8-7bf3-4af9-bec4-175c512ae618	IfcQtyWidth[Type]	LENGTH		2	1		1
PARAM	feae8108-41cf-496e-9175-3eff2fddd4af	IfcQtyDiameter[Type]	LENGTH		2	1		1
PARAM	7a5130be-436f-4829-b75b-72c574219b8c	IfcQtyPerimeter[Type]	LENGTH		2	1		1
PARAM	192dcfa0-1bdf-4da3-97f1-a40ebdb72539	IfcQtyNetPerimeter[Type]	LENGTH		2	1		1
PARAM	ad610f5c-4e19-46b0-838f-4732a4ab3b1c	IfcQtyGrossPerimeter[Type]	LENGTH		2	1		1
PARAM	145dd5a5-bc9e-48b5-9a9e-77e096bd0bfe	IfcQtyNetHeight[Type]	LENGTH		2	1		1
PARAM	134b9456-7fb3-4089-bed2-440ea7ec5e0e	IfcQtyFinishCeilingHeight[Type]	LENGTH		2	1		1
PARAM	9c0c6850-b2e0-4cf4-a3dc-c588a37aa12e	IfcQtyGrossHeight[Type]	LENGTH		2	1		1
PARAM	6b103c6c-74b9-486f-9906-e5dd6f9f03c7	IfcQtyFinishFloorHeight[Type]	LENGTH		2	1		1
PARAM	dcb095d6-dfba-48d2-97a2-c20e899dc53f	IfcQtyGrossWallArea[Type]	AREA		2	1		1
PARAM	3245f4b2-0cea-431e-bcb7-27a9edae0310	IfcQtyArea[Type]	AREA		2	1		1
PARAM	68698438-8829-4054-8513-8a0b6ce12244	IfcQtyGrossArea[Type]	AREA		2	1		1
PARAM	3d73ad7e-6b1f-48d8-958b-c5559b3544d5	IfcQtyGrossSurfaceArea[Type]	AREA		2	1		1
PARAM	00f5808a-306f-49ee-a5ca-78c22c62ce99	IfcQtyNetCeilingArea[Type]	AREA		2	1		1
PARAM	a1b7fcd2-7e34-4e65-89b8-f56de11a314b	IfcQtyNetSurfaceArea[Type]	AREA		2	1		1
PARAM	6969d33f-e5f0-4c42-8ec4-5783073ed751	IfcQtyCrossSectionArea[Type]	AREA		2	1		1
PARAM	a9a58585-2eb5-4db8-9c7c-cf12d1720ebe	IfcQtyOuterSurfaceArea[Type]	AREA		2	1		1
PARAM	596d602a-dae6-47ef-83c4-8db04a4209f6	IfcQtyGrossCeilingArea[Type]	AREA		2	1		1
PARAM	2acd7edb-4e08-4053-8379-d5bddd689985	IfcQtyNetWallArea[Type]	AREA		2	1		1
PARAM	329ad038-3907-433e-95b7-1fc5663d21b4	IfcQtyGrossVolume[Type]	VOLUME		2	1		1
PARAM	6aff01bb-fc73-4ec5-a59b-8fd19520c2c9	IfcQtyNetVolume[Type]	VOLUME		2	1		1
PARAM	0291a3a9-a188-43e3-9e6d-059bd6c7f81b	IfcQtyVolume[Type]	VOLUME		2	1		1
PARAM	90933854-33fd-4c06-a6a7-6f849919ae92	IfcQtyGrossWeight[Type]	NUMBER		2	1		1
PARAM	a9c5d910-1a26-497b-a034-b28915eddd56	IfcQtyNetWeight[Type]	NUMBER		2	1		1
PARAM	9080bc21-a032-4bec-ad15-80307600bbe3	IfcName[Type]	TEXT		2	1		1
PARAM	fee87b11-3cdd-4f48-a4c9-1e17c03fed3f	IfcDescription[Type]	TEXT		2	1		1
PARAM	58ba886e-ac48-4bf1-b77f-760dca5f2712	IfcLongName[Type]	TEXT		2	1		1
PARAM	0a85b5b6-2af4-480d-85bf-235cee912e09	IfcTag[Type]	TEXT		2	1		1
PARAM	115763c9-c385-4aad-aac6-6ac789b0cb41	IfcProfileName[Type]	TEXT		2	1		1
PARAM	3fa9eb1c-a4a0-4fa8-b836-e9b2f417b8d8	IfcElementType[Type]	TEXT		2	1		1
PARAM	0c449988-1efe-4690-b873-fc98d4fc60e2	IfcApplicableOccurrence[Type]	TEXT		2	1		1
PARAM	54f49c86-bf8c-4689-830a-54bc73fa0ab2	IfcObjectType[Type]	TEXT		2	1	Special Parameter to set the Instance ObjectType attribute from the Type	1
PARAM	141f4773-6408-460c-9136-ed34a072e8da	PanelDepth[Type]	LENGTH		2	1		1
PARAM	6f115f50-3148-4aa0-be19-ce8d91aea627	PanelWidth[Type]	LENGTH		2	1		1
PARAM	abec6a05-f532-46f0-b3de-f9e8a9c01335	LiningDepth[Type]	LENGTH		2	1		1
PARAM	55e3e35c-c4ba-42df-ba56-048a3995bba5	LiningThickness[Type]	LENGTH		2	1		1
PARAM	3be72e29-7818-4302-89a7-337d1f328e12	LiningOffset[Type]	LENGTH		2	1		1
PARAM	a1982167-ba1d-463f-b67d-28a9679bc10c	ThresholdDepth[Type]	LENGTH		2	1		1
PARAM	524d8a84-6533-40f3-b306-880f79263b71	ThresholdThickness[Type]	LENGTH		2	1		1
PARAM	b088323c-4dfb-4e78-a124-580119915e40	ThreshholdOffset[Type]	LENGTH		2	1		1
PARAM	0345acfb-1ffc-4d44-bdb2-9d4dd6c4ca01	TransomOffset[Type]	LENGTH		2	1		1
PARAM	95466b46-291e-427f-8d55-96445794c575	TransomThickness[Type]	LENGTH		2	1		1
PARAM	ec98702d-a600-45a7-b710-2a8e943aab7e	CasingDepth[Type]	LENGTH		2	1		1
PARAM	db88ef23-14ab-4a23-963d-72d84bdd303e	CasingThickness[Type]	LENGTH		2	1		1
PARAM	68d470bd-a841-4665-9a55-75ea82f4fa72	WINDOW_PARTITIONING_TYPE[Type]	TEXT		2	1		1
PARAM	556ad2ea-5ba3-49cc-accf-be26c96b33ff	WINDOW_PREDEFINED_TYPE[Type]	TEXT		2	1		1
PARAM	0ffb75e9-4b55-4742-8b18-1bf5f83acc04	Construction[Type]	TEXT		2	1	PEnum_ConstructionEnum	1
PARAM	78af38cc-458e-4e63-9a7e-873a0d73b923	FirstTransomOffset[Type]	LENGTH		2	1		1
PARAM	346df730-8ab6-41ce-8acf-0d4798300553	SecondTransomOffset[Type]	LENGTH		2	1		1
PARAM	1778bc42-afde-4b76-9222-af1a38b05b7c	MullionThickness[Type]	LENGTH		2	1		1
PARAM	93ade552-8d24-473c-a7f0-48b2ddaf1588	FirstMullionOffset[Type]	LENGTH		2	1		1
PARAM	1ea5ba6d-0447-43a5-8f5c-8a905c42ffb0	SecondMullionOffset[Type]	LENGTH		2	1		1
PARAM	4a37833e-59c1-4532-8fe0-2a0f5214c2ad	FrameDepth[Type]	LENGTH		2	1	IfcPositiveLengthMeasure	1
PARAM	b552f0e3-1bc1-496b-a001-08b1f4a9a251	FrameThickness[Type]	LENGTH		2	1	IfcPositiveLengthMeasure	1
PARAM	158072f2-668a-4f50-ad27-f74384061856	IfcExportAs[Type]	TEXT		2	1	Parameter to instruct export to assign a specific entity	1
PARAM	0511d859-633b-4326-a8ea-5ab75dc311c0	IfcExportType[Type]	TEXT		2	1	Parameter to assign PredefinedType	1
PARAM	1e5288bb-b350-4e22-8198-42d5c82f1ac7	RequestSourceType[Type]	TEXT		2	1	PEnum_RequestSourceType	1
PARAM	5e29b11b-22d4-4b45-b06c-f4069a9a18b8	RequestSourceLabel[Type]	TEXT		2	1	IfcLabel	1
PARAM	ddd31e1d-8da8-45ee-ba51-24d5445e11cb	RequestSourceName[Type]	MULTILINETEXT		2	1	IfcPerson	1
PARAM	ede51f24-959c-41b7-8873-2e8915a99268	RequestDescription[Type]	TEXT		2	1	IfcText	1
PARAM	0446c325-aaa4-48f7-9942-08ac9b1e4398	RequestComments[Type]	TEXT		2	1	IfcText	1
PARAM	c9bc11c5-519a-48e1-ae92-ac89077dcf8c	Status[Type]	TEXT		2	1	PEnum_ElementStatus	1
PARAM	427f6c8f-f7da-413a-91cd-cfcf1f223cda	NumberOfActors[Type]	INTEGER		2	1	IfcCountMeasure	1
PARAM	b1ad7231-7263-4476-a5b7-4dd50c303e8c	Category[Type]	TEXT		2	1	IfcLabel	1
PARAM	abe310e5-fa1f-4495-b92c-f98a5b1e771d	SkillLevel[Type]	TEXT		2	1	IfcLabel	1
PARAM	c82ee733-eec8-46ac-accc-6907d0eb3c89	Position[Type]	MULTILINETEXT		2	1	IfcTimeSeries	1
PARAM	f6d26fcc-f2ea-4607-a486-0302b511fe46	Quality[Type]	MULTILINETEXT		2	1	IfcTimeSeries	1
PARAM	dafc26a0-21a2-4563-869a-53d372463b77	FailPosition[Type]	TEXT		2	1	PEnum_FailPosition	1
PARAM	a7ad780a-3347-4e67-9c88-c831c41eb915	ManualOverride[Type]	YESNO		2	1	IfcBoolean	1
PARAM	34e41524-a5dd-428b-887a-ddecabf27648	Reference[Type]	TEXT		2	1	IfcIdentifier	1
PARAM	5d3994bf-069e-4404-9d2f-7eb257e075e8	Application[Type]	TEXT		2	1	PEnum_UnitaryControlElementApplication	1
PARAM	2b07d35f-4d49-4ea4-a663-951fd8d0ae91	ActuatorInputPower[Type]	NUMBER		2	1	IfcPowerMeasure	1
PARAM	22388cf9-c34f-4d89-b497-f44edd8a96a0	ElectricActuatorType[Type]	TEXT		2	1	PEnum_ElectricActuatorType	1
PARAM	a94162ba-4020-4971-935c-94cb37d30e87	InputPressure[Type]	NUMBER		2	1	IfcPressureMeasure	1
PARAM	47953f13-b5c9-4d10-bbe8-33a25eaaaca1	InputFlowrate[Type]	NUMBER		2	1	IfcVolumetricFlowRateMeasure	1
